embedding	source	sample	reproductive_state	component_1	component_2
separate_pca	Reanalysis	Fe_HL_O_2	Hindlegs	-35.06465247011888	-14.488454411585664
separate_pca	Reanalysis	Fe_HL_O_3	Hindlegs	-40.14406031531782	-16.16349724930508
separate_pca	Reanalysis	Fe_HL_O_4	Hindlegs	-39.31003647645639	-18.209307396482814
separate_pca	Reanalysis	Fe_HL_O_5	Hindlegs	-44.506627946263244	-17.583001929071543
separate_pca	Reanalysis	Fe_HL_O_6	Hindlegs	-45.61681313443943	-13.486700886710116
separate_pca	Reanalysis	Fe_HL_O_7	Hindlegs	-41.03003146260019	-10.570765001535749
separate_pca	Reanalysis	Fe_HL_O_8	Hindlegs	-48.95054651535705	-13.909922153391635
separate_pca	Reanalysis	FE_HL_SF_1	Hindlegs	-41.42751884276825	-12.214120974612124
separate_pca	Reanalysis	FE_HL_SF_2	Hindlegs	-45.163264070517364	-16.68931956881806
separate_pca	Reanalysis	FE_HL_SF_3	Hindlegs	-37.31125853642648	-16.369666395642472
separate_pca	Reanalysis	FE_HL_SF_4	Hindlegs	-38.2597857685124	-15.526282919175236
separate_pca	Reanalysis	FE_HL_SF_5	Hindlegs	-46.13951031786806	-16.47271756365294
separate_pca	Reanalysis	FE_HL_SF_6	Hindlegs	-38.33971405487018	-12.704607230986136
separate_pca	Reanalysis	Fe_ML_O_1	Midlegs	-56.22275337118486	-18.62376708994579
separate_pca	Reanalysis	Fe_ML_O_2	Midlegs	-29.716470239046355	-15.772833035623375
separate_pca	Reanalysis	Fe_ML_O_3	Midlegs	-26.696664788591338	-16.198888411617233
separate_pca	Reanalysis	Fe_ML_O_4	Midlegs	-32.988741931879005	-16.967856054445054
separate_pca	Reanalysis	Fe_ML_O_5	Midlegs	-32.3960759658757	-12.218610324499965
separate_pca	Reanalysis	Fe_ML_O_6	Midlegs	-50.64185850481932	-16.293631831706442
separate_pca	Reanalysis	Fe_ML_O_7	Midlegs	-36.65455589364583	-19.302044856499066
separate_pca	Reanalysis	Fe_ML_SF_1	Midlegs	-42.457954250983676	-14.577494789781513
