embedding	source	sample	reproductive_state	component_1	component_2
joint_pca	Published	Fe_Ov_6dBF_Laid_1_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	46.76388171791957	19.870297210905076
joint_pca	Published	Fe_Ov_6dBF_Laid_2_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	44.92493727195934	21.02366981449262
joint_pca	Published	Fe_Ov_6dBF_Laid_3_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	43.37808161083739	21.035568605194367
joint_pca	Published	Fe_Ov_13dBF_1_TPM	13 days post-blood-meal (eggs laid >1 week prior)	32.21298289226094	-3.1898600627270013
joint_pca	Published	Fe_Ov_13dBF_2_TPM	13 days post-blood-meal (eggs laid >1 week prior)	35.41680060536682	-5.408110351145708
joint_pca	Published	Fe_Ov_13dBF_3_TPM	13 days post-blood-meal (eggs laid >1 week prior)	32.937613304700044	-3.618928322949878
joint_pca	Reanalysis	Fe_Ov_NBF_1_TPM	Non-blood-fed	-33.648778636564415	-7.882321822854165
joint_pca	Reanalysis	Fe_Ov_NBF_2_TPM	Non-blood-fed	-31.378092866178086	-8.355302771044293
joint_pca	Reanalysis	Fe_Ov_NBF_3_TPM	Non-blood-fed	-33.142654748281345	-8.65793813133797
joint_pca	Reanalysis	Fe_Ov_3hBF_1_TPM	3 hours post-blood-meal	-31.231515085744192	-14.397015805801237
joint_pca	Reanalysis	Fe_Ov_3hBF_2_TPM	3 hours post-blood-meal	-32.793157072070095	-13.40146695844897
joint_pca	Reanalysis	Fe_Ov_3hBF_3_TPM	3 hours post-blood-meal	-31.949357836705307	-12.759071593009827
joint_pca	Reanalysis	Fe_Ov_6hBF_1_TPM	6 hours post-blood-meal	-32.80049438873746	-17.373422784254696
joint_pca	Reanalysis	Fe_Ov_6hBF_2_TPM	6 hours post-blood-meal	-33.31786723333813	-18.331053419455017
joint_pca	Reanalysis	Fe_Ov_6hBF_3_TPM	6 hours post-blood-meal	-34.02748938972414	-17.85069962504322
